speech_id, speaker        , location       , std_dev               , mean                , corpus_size, n_opt, var_coef            , juilland_d
      100, Hermocrates    , Syracuse       , 0.036935818030659325  , 0.07995330251144205 ,           5,    26, 0.46196738434129686 , 0.7690163078293516
       26, Pericles       , funeral-oration, 0.02036567458122965   , 0.056262631771776185,           6,    20, 0.36197515011101866 , 0.8381197916372143
       98, Alcibiades     , Athens         , 0.02386611618937445   , 0.04602957793279203 ,           6,    16, 0.5184952211428369  , 0.7681218879031662
      101, Athenagoras    , Syracuse       , 0.025526121431659388  , 0.056339322777678946,           4,    16, 0.45307824398933977 , 0.7384151538687918
       29, Pericles       , plague         , 0.022822819249953087  , 0.09112721417069243 ,           4,    14, 0.25045009284716147 , 0.8554025714761245
       15, Archidamus     , Sparta         , 0.07149736906134914   , 0.12395283694873298 ,           4,    12, 0.5768110744485866  , 0.6669779708955512
       52, Hermocrates    , Gela           , 0.003919322453735629  , 0.03836117780445511 ,           4,    10, 0.10216898119537027 , 0.9410127112040232
       40, Diodotus       , Athens         , 0.011228822146920284  , 0.04288288288288288 ,           5,    10, 0.2618485836781831  , 0.8690757081609084
       19, Corinthians    , Sparta         , 0.010379145387899356  , 0.03510425685425685 ,           5,    10, 0.2956662900169256  , 0.8521668549915372
       24, Pericles       , Athens         , 0.018742167467121193  , 0.06517131242740999 ,           4,    10, 0.28758309091898143 , 0.8339638250435415
       97, Nicias         , Athens         , 0.010396509702932112  , 0.0309313083041646  ,           4,    10, 0.3361160672771259  , 0.805943298078593
       87, Athenians      , Melos          , 0.016571969696969696  , 0.0771780303030303  ,           2,    10, 0.21472392638036808 , 0.7852760736196319
       41, Plataeans      , Plataea        , 0.01907434563832023   , 0.0465068045713207  ,           4,    10, 0.41014096354585466 , 0.7632050042911083
       14, Athenians      , Sparta         , 0.02192950896421259   , 0.046158008658008655,           4,    10, 0.4750965130816514  , 0.7257029002812561
       51, Spartans       , Athens         , 0.02285353379780217   , 0.05224188331027152 ,           3,    10, 0.4374561625596838  , 0.6906717809822029
       59, Brasidas       , Amphipolis     , 0.05077509862048183   , 0.1150417215634607  ,           3,    10, 0.44136247207038415 , 0.6879096030377732
      108, Alcibiades     , Camarina       , 0.01314028857838346   , 0.043311606426360526,           4,     8, 0.303389545264845   , 0.8248379643720236
       11, Corinthians    , Sparta         , 0.036448304119350065  , 0.07893450635386119 ,           3,     8, 0.4617537475429736  , 0.6734907938740623
       93, Athenians      , Melos          , 0.055695647105138385  , 0.06944409788934079 ,           3,     8, 0.8020213207159725  , 0.43288528546554494
       75, Athenians      , Melos          , 0.0                   , 0.2608695652173913  ,           1,     6, 0.0                 , NaN
      112, Nicias         , Syracuse-3     , 0.00023375409069658487, 0.04324450677886863 ,           2,     6, 0.005405405405405352, 0.9945945945945946
       10, Corinthians    , Athens         , 0.0005288207297726132 , 0.06504494976203068 ,           2,     6, 0.008130081300813101, 0.991869918699187
       43, Teutiaplus     , Embatum        , 0.014961056538232802  , 0.0537720334468302  ,           3,     6, 0.27823118411592707 , 0.8032608429740652
      110, Nicias         , Syracuse-2     , 0.00966293366623694   , 0.030788033370529783,           3,     6, 0.3138535530978822  , 0.7780720243049953
       36, Phormio        , Corinthian_Gulf, 0.014482758620689656  , 0.05448275862068966 ,           2,     6, 0.26582278481012656 , 0.7341772151898734
       39, Cleon          , Athens         , 0.018402798363423876  , 0.03849671833542801 ,           3,     6, 0.4780355094966115  , 0.6619778495869798
        2, Thucydides     , NA             , 0.0                   , 0.037037037037037035,           1,     4, 0.0                 , NaN
      107, Euphemus       , Camarina       , 0.0008314855875831487 , 0.023558758314855877,           2,     4, 0.03529411764705883 , 0.9647058823529412
       50, Demosthenes    , Pylos          , 0.0021739130434782596 , 0.03115942028985507 ,           2,     4, 0.06976744186046507 , 0.930232558139535
       92, Melians        , Melos          , 0.010518934081346423  , 0.05399719495091164 ,           2,     4, 0.19480519480519481 , 0.8051948051948052
       58, Brasidas       , Northern-Greece, 0.015130984643179766  , 0.033649503161698284,           2,     4, 0.44966442953020136 , 0.5503355704697986
       42, Thebans        , Plataea        , 0.0                   , 0.03571428571428571 ,           1,     2, 0.0                 , NaN
       99, Nicias         , Athens-2       , 0.0                   , 0.03333333333333333 ,           1,     2, 0.0                 , NaN
       25, Archidamus     , Isthmus        , 0.0                   , 0.04081632653061224 ,           1,     2, 0.0                 , NaN
      106, Hermocrates    , Camarina       , 0.0                   , 0.03225806451612903 ,           1,     2, 0.0                 , NaN
       53, Brasidas       , Acanthus       , 0.0                   , 0.041666666666666664,           1,     2, 0.0                 , NaN
       38, Mytilenians    , Olympia        , 0.0                   , 0.09090909090909091 ,           1,     2, 0.0                 , NaN
       37, Thucydides     , NA             , 0.0                   , 0.030303030303030304,           1,     2, 0.0                 , NaN
        9, Corcyreans     , Athens         , 0.0                   , 0.045454545454545456,           1,     2, 0.0                 , NaN
       69, Athenians      , Melos          , 0.0                   , 0.05                ,           1,     2, 0.0                 , NaN
       27, Thucydides     , NA             , 0.0                   , 0.02531645569620253 ,           1,     2, 0.0                 , NaN
       44, Thucydides     , NA             , 0.0                   , 0.047619047619047616,           1,     2, 0.0                 , NaN
       35, Brasidas+Cnemus, Corinthian_Gulf, 0.0                   , 0.027777777777777776,           1,     2, 0.0                 , NaN
       74, Melians        , Melos          , 0.0                   , 0.13333333333333333 ,           1,     2, 0.0                 , NaN
      104, Thucydides     , NA             , 0.0                   , 0.021739130434782608,           1,     2, 0.0                 , NaN
        6, Thucydides     , NA             , 0.0                   , 0.0273972602739726  ,           1,     2, 0.0                 , NaN
