speech_id,speaker,location,n_pot_opt_total,n_tokens,opt_per_1000_tokens,expected_pot_opt_total,actual - expected
42,Thebans,Plataea,1,1480,0.6756756756756757,5.615233217139741,-4.615233217139741
38,Mytilenians,Olympia,1,1172,0.8532423208191127,4.446657655734984,-3.4466576557349837
109,Nicias-letter,Athens,0,895,0.0,3.3956984657703164,-3.3956984657703164
106,Hermocrates,Camarina,1,1117,0.8952551477170994,4.237983448341278,-3.2379834483412777
9,Corcyreans,Athens,1,1061,0.942507068803016,4.025515164449503,-3.0255151644495033
39,Cleon,Athens,3,1467,2.044989775051125,5.565910222664865,-2.565910222664865
107,Euphemus,Camarina,2,1177,1.6992353440951573,4.465628038225321,-2.4656280382253213
111,Gylippus,Syracuse,0,596,0.0,2.261269592848166,-2.261269592848166
53,Brasidas,Acanthus,1,745,1.3422818791946307,2.8265869910602075,-1.8265869910602075
55,Pagondas,Tanagra,0,424,0.0,1.6086884351805744,-1.6086884351805744
57,Spartans,Athens,0,420,0.0,1.5935121291883048,-1.5935121291883048
10,Corinthians,Athens,3,1173,2.557544757033248,4.450451732233051,-1.4504517322330512
99,Nicias,Athens-2,1,640,1.5625,2.4282089587631313,-1.4282089587631313
62,Thucydides,NA,0,293,0.0,1.111664413933746,-1.111664413933746
41,Plataeans,Plataea,5,1589,3.1466331025802394,6.028787555429086,-1.0287875554290862
105,Nicias,Syracuse,0,211,0.0,0.8005501410922198,-0.8005501410922198
16,Sthenelaidas,Sparta,0,190,0.0,0.7208745346328046,-0.7208745346328046
30,Plataeans,Plataea,0,179,0.0,0.6791396931540632,-0.6791396931540632
46,Homeric-Hymn-to-Apollo,NA,0,175,0.0,0.6639633871617937,-0.6639633871617937
40,Diodotus,Athens,5,1479,3.3806626098715347,5.611439140641673,-0.6114391406416733
102,Syracusan-General,Syracuse,0,150,0.0,0.5691114747101088,-0.5691114747101088
24,Pericles,Athens,5,1451,3.445899379738112,5.5052049986957865,-0.5052049986957865
56,Hippocrates,Tanagra,0,126,0.0,0.47805363875649143,-0.47805363875649143
25,Archidamus,Isthmus,1,389,2.5706940874035986,1.4758957577482157,-0.4758957577482157
4,Thucydides,NA,0,122,0.0,0.4628773327642219,-0.4628773327642219
31,Archidamus,Plataea,0,119,0.0,0.4514951032700197,-0.4514951032700197
22,Themistocles,Asia-Minor,0,118,0.0,0.4477010267719523,-0.4477010267719523
33,Archidamus,Plataea,0,115,0.0,0.43631879727775014,-0.43631879727775014
7,Thucydides,NA,0,108,0.0,0.4097602617912784,-0.4097602617912784
73,Athenians,Melos,0,104,0.0,0.3945839557990088,-0.3945839557990088
21,Xerxes,Persia,0,103,0.0,0.39078987930094145,-0.39078987930094145
85,Athenians,Melos,0,101,0.0,0.38320172630480664,-0.38320172630480664
80,Melians,Melos,0,95,0.0,0.3604372673164023,-0.3604372673164023
65,Athenians,Melos,0,89,0.0,0.3376728083279979,-0.3376728083279979
71,Athenians,Melos,0,89,0.0,0.3376728083279979,-0.3376728083279979
86,Melians,Melos,0,88,0.0,0.33387873182993055,-0.33387873182993055
116,Thucydides,NA,0,83,0.0,0.31490834933959355,-0.31490834933959355
32,Archidamus,Plataea,0,82,0.0,0.31111427284152615,-0.31111427284152615
94,Melians,Melos,0,81,0.0,0.3073201963434588,-0.3073201963434588
17,Sthenelaidas,Sparta,0,80,0.0,0.3035261198453914,-0.3035261198453914
35,Brasidas+Cnemus,Corinthian_Gulf,1,343,2.9154518950437316,1.3013682388371155,-0.3013682388371155
72,Melians,Melos,0,76,0.0,0.2883498138531218,-0.2883498138531218
49,Thucydides,NA,0,76,0.0,0.2883498138531218,-0.2883498138531218
8,Thucydides,NA,0,76,0.0,0.2883498138531218,-0.2883498138531218
108,Alcibiades,Camarina,4,1130,3.5398230088495577,4.287306442816154,-0.2873064428161536
20,Pausanias,Byzantium,0,75,0.0,0.2845557373550544,-0.2845557373550544
60,Brasidas,Amphipolis,0,74,0.0,0.28076166085698706,-0.28076166085698706
18,Thucydides,NA,0,74,0.0,0.28076166085698706,-0.28076166085698706
11,Corinthians,Sparta,4,1127,3.5492457852706303,4.275924213321951,-0.27592421332195105
63,Athenian+Argive+Peloponnesian-Oath,NA,0,72,0.0,0.27317350786085226,-0.27317350786085226
66,Melians,Melos,0,71,0.0,0.26937943136278486,-0.26937943136278486
48,Ambraciot-herald+Interlocutor,Olpae,0,68,0.0,0.25799720186858266,-0.25799720186858266
95,Athenians,Melos,0,68,0.0,0.25799720186858266,-0.25799720186858266
54,Spartan-Messenger,Pylos,0,68,0.0,0.25799720186858266,-0.25799720186858266
23,Spartans,Athens,0,67,0.0,0.2542031253705153,-0.2542031253705153
1,Thucydides,NA,0,65,0.0,0.24661497237438051,-0.24661497237438051
81,Athenians,Melos,0,64,0.0,0.24282089587631311,-0.24282089587631311
91,Athenians,Melos,0,63,0.0,0.23902681937824571,-0.23902681937824571
28,Thucydides,NA,0,63,0.0,0.23902681937824571,-0.23902681937824571
61,Athenians+Spartans-oath,Amphipolis,0,61,0.0,0.23143866638211094,-0.23143866638211094
45,Thucydides,NA,0,57,0.0,0.21626236038984137,-0.21626236038984137
12,Corinthians,Sybota,0,57,0.0,0.21626236038984137,-0.21626236038984137
96,Thucydides,NA,0,56,0.0,0.21246828389177397,-0.21246828389177397
115,Thucydides,NA,0,56,0.0,0.21246828389177397,-0.21246828389177397
64,Thucydides,NA,0,55,0.0,0.2086742073937066,-0.2086742073937066
13,Athenians,Sybota,0,55,0.0,0.2086742073937066,-0.2086742073937066
34,Athenians,Athens,0,54,0.0,0.2048801308956392,-0.2048801308956392
79,Athenians,Melos,0,53,0.0,0.2010860543975718,-0.2010860543975718
90,Melians,Melos,0,44,0.0,0.16693936591496528,-0.16693936591496528
47,Ambraciot-herald,Olpae,0,43,0.0,0.16314528941689788,-0.16314528941689788
0,Thucydides,NA,0,42,0.0,0.15935121291883048,-0.15935121291883048
70,Melians,Melos,0,41,0.0,0.15555713642076308,-0.15555713642076308
82,Melians,Melos,0,41,0.0,0.15555713642076308,-0.15555713642076308
84,Melians,Melos,0,40,0.0,0.1517630599226957,-0.1517630599226957
83,Athenians,Melos,0,40,0.0,0.1517630599226957,-0.1517630599226957
103,Thucydides,NA,0,38,0.0,0.1441749069265609,-0.1441749069265609
88,Melians,Melos,0,36,0.0,0.13658675393042613,-0.13658675393042613
5,Thucydides,NA,0,36,0.0,0.13658675393042613,-0.13658675393042613
113,Thucydides,NA,0,36,0.0,0.13658675393042613,-0.13658675393042613
78,Melians,Melos,0,32,0.0,0.12141044793815656,-0.12141044793815656
114,Thucydides,NA,0,32,0.0,0.12141044793815656,-0.12141044793815656
89,Athenians,Melos,0,30,0.0,0.11382229494202177,-0.11382229494202177
77,Athenians,Melos,0,26,0.0,0.0986459889497522,-0.0986459889497522
3,Thucydides,NA,0,25,0.0,0.09485191245168481,-0.09485191245168481
76,Melians,Melos,0,24,0.0,0.09105783595361741,-0.09105783595361741
52,Hermocrates,Gela,5,1311,3.8138825324180012,4.974034288966352,0.025965711033648198
14,Athenians,Sparta,5,1304,3.834355828220859,4.94747575347988,0.05252424652011989
110,Nicias,Syracuse-2,3,703,4.2674253200568995,2.667235778141377,0.3327642218586231
58,Brasidas,Northern-Greece,2,382,5.235602094240838,1.449337222261744,0.550662777738256
104,Thucydides,NA,1,92,10.869565217391305,0.3490550378222001,0.6509449621777998
97,Nicias,Athens,5,1141,4.382120946538125,4.329041284294894,0.6709587157051056
27,Thucydides,NA,1,79,12.658227848101266,0.299732043347324,0.7002679566526759
6,Thucydides,NA,1,73,13.698630136986301,0.27696758435891966,0.7230324156410803
37,Thucydides,NA,1,66,15.151515151515152,0.2504090488724479,0.749590951127552
19,Corinthians,Sparta,5,1113,4.492362982929021,4.222807142349008,0.7771928576509923
44,Thucydides,NA,1,42,23.809523809523807,0.15935121291883048,0.8406487870811695
69,Athenians,Melos,1,40,25.0,0.1517630599226957,0.8482369400773043
74,Melians,Melos,1,15,66.66666666666667,0.056911147471010885,0.9430888525289891
50,Demosthenes,Pylos,2,267,7.49063670411985,1.0130184249839937,0.9869815750160063
36,Phormio,Corinthian_Gulf,3,494,6.0728744939271255,1.874273790045292,1.125726209954708
26,Pericles,funeral-oration,10,2278,4.389815627743635,8.64290626259752,1.3570937374024794
112,Nicias,Syracuse-3,3,413,7.263922518159807,1.566953593701833,1.433046406298167
2,Thucydides,NA,2,108,18.51851851851852,0.4097602617912784,1.5902397382087217
92,Melians,Melos,2,77,25.974025974025977,0.2921438903511892,1.7078561096488107
15,Archidamus,Sparta,6,1049,5.719733079122974,3.9799862464726945,2.0200137535273055
29,Pericles,plague,7,1281,5.46448087431694,4.86021199402433,2.13978800597567
51,Spartans,Athens,5,739,6.7658998646820026,2.803822532071803,2.196177467928197
43,Teutiaplus,Embatum,3,145,20.689655172413794,0.5501410922197719,2.449858907780228
75,Athenians,Melos,3,23,130.43478260869566,0.08726375945555002,2.91273624054445
93,Athenians,Melos,4,247,16.194331983805668,0.937136895022646,3.062863104977354
59,Brasidas,Amphipolis,5,404,12.376237623762377,1.5328069052192266,3.4671930947807734
98,Alcibiades,Athens,8,1163,6.878761822871883,4.412510967252377,3.587489032747623
87,Athenians,Melos,5,211,23.696682464454973,0.8005501410922198,4.19944985890778
101,Athenagoras,Syracuse,8,953,8.39454354669465,3.615754902658225,4.3842450973417755
100,Hermocrates,Syracuse,13,952,13.655462184873949,3.6119608261601575,9.388039173839843
